node_id	layer_id	op_id	name	op_type	inputs	outputs
N229	L229	conv_066	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	Conv	/model.19/cv2/act/Mul_output_0:FLOAT:[1, 128, 40, 40] | model.23.one2one_cv2.1.0.conv.weight:FLOAT:[64, 128, 3, 3] | model.23.one2one_cv2.1.0.conv.bias:FLOAT:[64]	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv_output_0:FLOAT:[1, 64, 40, 40]
N230	L230	sigmoid_057	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Sigmoid	Sigmoid	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv_output_0:FLOAT:[1, 64, 40, 40]	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Sigmoid_output_0:FLOAT:[1, 64, 40, 40]
N231	L231	mul_058	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul	Mul	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv_output_0:FLOAT:[1, 64, 40, 40] | /model.23/one2one_cv2.1/one2one_cv2.1.0/act/Sigmoid_output_0:FLOAT:[1, 64, 40, 40]	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0:FLOAT:[1, 64, 40, 40]
N232	L232	conv_067	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	Conv	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0:FLOAT:[1, 64, 40, 40] | model.23.one2one_cv2.1.1.conv.weight:FLOAT:[64, 64, 3, 3] | model.23.one2one_cv2.1.1.conv.bias:FLOAT:[64]	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv_output_0:FLOAT:[1, 64, 40, 40]
N233	L233	sigmoid_058	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Sigmoid	Sigmoid	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv_output_0:FLOAT:[1, 64, 40, 40]	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Sigmoid_output_0:FLOAT:[1, 64, 40, 40]
N234	L234	mul_059	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul	Mul	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv_output_0:FLOAT:[1, 64, 40, 40] | /model.23/one2one_cv2.1/one2one_cv2.1.1/act/Sigmoid_output_0:FLOAT:[1, 64, 40, 40]	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0:FLOAT:[1, 64, 40, 40]
N235	L235	conv_068	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	Conv	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0:FLOAT:[1, 64, 40, 40] | model.23.one2one_cv2.1.2.weight:FLOAT:[64, 64, 1, 1] | model.23.one2one_cv2.1.2.bias:FLOAT:[64]	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv_output_0:FLOAT:[1, 64, 40, 40]
N236	L236	conv_069	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	Conv	/model.19/cv2/act/Mul_output_0:FLOAT:[1, 128, 40, 40] | model.23.one2one_cv3.1.0.0.conv.weight:FLOAT:[128, 1, 3, 3] | model.23.one2one_cv3.1.0.0.conv.bias:FLOAT:[128]	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv_output_0:FLOAT:[1, 128, 40, 40]
N237	L237	sigmoid_059	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Sigmoid	Sigmoid	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv_output_0:FLOAT:[1, 128, 40, 40]	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Sigmoid_output_0:FLOAT:[1, 128, 40, 40]
N238	L238	mul_060	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul	Mul	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv_output_0:FLOAT:[1, 128, 40, 40] | /model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Sigmoid_output_0:FLOAT:[1, 128, 40, 40]	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0:FLOAT:[1, 128, 40, 40]
